,Operatore,Profilo,Velocità (down/up),Territorio,Periodo,Tipo,Media,Dev. Std.,Min,Max,TP%,Misure,Anno
0,Acantho,BigBand,"
7,0Mbps512.0kbps
",Nazionale,"
Gen2014Giu2014
",Download,"5,4Mbps","969,4","3,3Mbps","6,2Mbps",,43900,2014
1,Acantho,BigBand,"
7,0Mbps512.0kbps
",Nazionale,"
Gen2014Giu2014
",Ping,53ms,"4,9", ,"
61ms
",0%,21946,2014
2,Acantho,BigBand,"
7,0Mbps512.0kbps
",Nazionale,"
Gen2014Giu2014
",Upload,487.0kbps,"3,9",484.0kbps,488.0kbps,,43888,2014
3,Acantho,BigBand,"
20,0Mbps1,0Mbps
",Nazionale,"
Gen2014Giu2014
",Download,"13,2Mbps","1398,1","10,5Mbps","15,0Mbps",,43860,2014
4,Acantho,BigBand,"
20,0Mbps1,0Mbps
",Nazionale,"
Gen2014Giu2014
",Ping,33ms,"5,2", ,"
41ms
",0%,21920,2014
5,Acantho,BigBand,"
20,0Mbps1,0Mbps
",Nazionale,"
Gen2014Giu2014
",Upload,498.0kbps,"2,4",497.0kbps,499.0kbps,,43855,2014
6,Aruba,ADSL20Mb/384kb,"
20,0Mbps384.0kbps
",Nazionale,"
Gen2014Giu2014
",Download,"15,4Mbps",1744,"13,0Mbps","17,6Mbps",,107140,2014
7,Aruba,ADSL20Mb/384kb,"
20,0Mbps384.0kbps
",Nazionale,"
Gen2014Giu2014
",Ping,17ms,"9,3", ,"
29ms
",0%,53560,2014
8,Aruba,ADSL20Mb/384kb,"
20,0Mbps384.0kbps
",Nazionale,"
Gen2014Giu2014
",Upload,396.0kbps,11,369.0kbps,403.0kbps,,107140,2014
9,Aruba,ADSL7Mb/384kb,"
7,0Mbps384.0kbps
",Nazionale,"
Gen2014Giu2014
",Download,"6,7Mbps","326,8","6,2Mbps","6,8Mbps",,108122,2014
10,Aruba,ADSL7Mb/384kb,"
7,0Mbps384.0kbps
",Nazionale,"
Gen2014Giu2014
",Ping,15ms,"7,5", ,"
25ms
",0%,54050,2014
11,Aruba,ADSL7Mb/384kb,"
7,0Mbps384.0kbps
",Nazionale,"
Gen2014Giu2014
",Upload,395.0kbps,"12,6",370.0kbps,402.0kbps,,108065,2014
